Name,Selling_Price,Original_Price,Display,Size,Screen_resolution,OS,Launch_Year,Ratings
Samsung,35490.0,47900.0,Ultra Hd (4K),43,3840x2160,Tizen,2022,4.3
Samsung,349699.0,470900.0,Qled Ultra Hd (4K),65,3840x2160,Tizen,2017,4.3
Samsung,71900.0,121990.0,Qled Ultra Hd (4K),55,3840x2160,Tizen,2022,4.7
Hyundai,17990.0,46490.0,Full Hd Led,43,1080x1920,Android,2022,3.5
Coocaa,28599.0,53990.0,Ultra Hd (4K),50,3840x2160,Linux,2019,4.1
Thomson,77999.0,149999.0,Ultra Hd (4K),75,3840x2160,Android,2020,4.5
Samsung,40319.0,64900.0,Ultra Hd (4K),43,3840x2160,Tizen,2022,4.4
Tcl,55489.0,126990.0,Ultra Hd (4K),65,3840x2160,Google,2023,4.1
Candy,52990.0,69990.0,Qled Ultra Hd (4K),65,3840x2160,Google,2023,4.3
Lg,104990.0,159990.0,Ultra Hd (4K),55,3840x2160,Webos,2022,3.6
Samsung,86990.0,101900.0,Ultra Hd (4K),65,3840x2160,Tizen,2024,4.3
Lloyd,26250.0,42490.0,Full Hd Led,43,1080x1920,Webos,2023,4.3
Hyundai,25999.0,57990.0,Ultra Hd (4K),43,3840x2160,Webos,2022,4.1
Mi,39999.0,59999.0,Ultra Hd (4K),50,3840x2160,Android,2021,4.3
Samsung,224199.0,274900.0,Qled Ultra Hd (4K),55,3840x2160,Tizen,2018,5.0
Samsung,70699.0,124900.0,Qled Ultra Hd (4K),50,3840x2160,Tizen,2022,4.2
Samsung,102199.0,149900.0,Ultra Hd (4K),55,3840x2160,Tizen,2017,4.3
Samsung,241599.0,284900.0,Ultra Hd (4K),55,3840x2160,Tizen,2016,3.6
Sony,79990.0,139900.0,Ultra Hd (4K),65,3840x2160,Google,2022,4.7
Motorola,40399.0,48999.0,Ultra Hd (4K),50,3840x2160,Android,2021,4.4
Bpl,37990.0,57000.0,Ultra Hd (4K),55,3840x2160,Google,2023,4.3
Hisense,499999.0,699999.0,Ultra Hd (4K),120,3840x2160,Vidaa,2023,4.3
Candy,47490.0,62990.0,Ultra Hd (4K),65,3840x2160,Google,2023,4.7
Samsung,202490.0,249900.0,Qled Ultra Hd (4K),65,3840x2160,Tizen,2024,4.5
Lg,139799.0,249990.0,Ultra Hd (4K),55,3840x2160,Webos,2020,4.6
Tcl,89990.0,299990.0,Qled Ultra Hd (4K),75,3840x2160,Google,2024,4.1
Hisense,91999.0,149999.0,Qled Ultra Hd (4K),75,3840x2160,Google,2024,4.2
Lg,108999.0,214990.0,Ultra Hd (4K),55,3840x2160,Webos,2018,4.7
Sansui,167999.0,219000.0,Ultra Hd (4K),86,3840x2160,Android,2023,4.7
Haier,31099.0,43990.0,Ultra Hd (4K),43,3840x2160,Android,2020,4.2
Lg,87299.0,139990.0,Ultra Hd (4K),42,3840x2160,Webos,2023,5.0
Lloyd,34900.0,50490.0,Ultra Hd (4K),43,3840x2160,Webos,2023,4.3
Sony,74890.0,109990.0,Ultra Hd (4K),55,3840x2160,Google,2021,4.7
Motorola,22327.0,33000.0,Full Hd Led,43,1080x1920,Android,2022,4.3
Samsung,93699.0,129900.0,Ultra Hd (4K),49,3840x2160,Tizen,2018,4.4
Lloyd,46000.0,66990.0,Qled Ultra Hd (4K),55,3840x2160,Webos,2023,4.5
Samsung,172599.0,234900.0,Ultra Hd (4K),65,3840x2160,Tizen,2018,4.1
Lg,52399.0,89990.0,Ultra Hd (4K),55,3840x2160,Webos,2021,4.5
Tcl,159990.0,329990.0,Ultra Hd (4K),75,3840x2160,Google,2024,4.2
Toshiba,199999.0,499999.0,Qled Ultra Hd (4K),85,3840x2160,Vidaa,2023,4.7
Sony,430799.0,529900.0,Ultra Hd (4K),65,3840x2160,Android,2018,5.0
Hisense,159999.0,219999.0,Ultra Hd (4K),75,3840x2160,Vidaa,2023,4.2
Sony,66490.0,99900.0,Ultra Hd (4K),43,3840x2160,Google,2023,4.7
Acer,27999.0,49999.0,Ultra Hd (4K),50,3840x2160,Google,2023,4.3
Blaupunkt,26699.0,47999.0,Ultra Hd (4K),50,3840x2160,Android,2021,4.5
Lg,123099.0,177990.0,Ultra Hd (4K),55,3840x2160,Webos,2018,4.4
Sony,116840.0,169900.0,Ultra Hd (4K),55,3840x2160,Google,2023,4.9
Sony,60990.0,99900.0,Ultra Hd (4K),55,3840x2160,Google,2024,4.7
Sony,54008.0,86318.0,Ultra Hd (4K),50,3840x2160,Google,2022,4.3
Samsung,36490.0,45900.0,Ultra Hd (4K),43,3840x2160,Tizen,2024,4.3
Tcl,109990.0,256990.0,Ultra Hd (4K),75,3840x2160,Google,2023,4.3
Lg,54990.0,129990.0,Ultra Hd (4K),55,3840x2160,Webos,2020,4.6
